Date,cad,oil
2017-05-17,1.3599,10.19
2017-05-16,1.3607,10.11
2017-05-15,1.3654,10.17
2017-05-12,1.3724,9.95
2017-05-11,1.3685,9.94
2017-05-10,1.3657,9.86
2017-05-09,1.3703,9.57
2017-05-08,1.3707,9.67
2017-05-05,1.3691,9.66
2017-05-04,1.3718,9.46
2017-05-03,1.3709,9.93
2017-05-02,1.3736,9.92
2017-04-28,1.3672,10.24
2017-04-27,1.3647,10.24
2017-04-26,1.3559,10.26
2017-04-25,1.3601,10.36
2017-04-24,1.3491,10.25
2017-04-21,1.3516,10.32
2017-04-20,1.3499,10.54
2017-04-19,1.3441,10.62
2017-04-18,1.337,11.04
2017-04-13,1.3268,11.13
2017-04-12,1.3269,11.11
2017-04-11,1.3347,11.17
2017-04-10,1.3362,11.14
2017-04-07,1.3389,10.96
2017-04-06,1.3413,10.86
2017-04-05,1.3414,10.68
2017-04-04,1.3430000000000002,10.71
2017-04-03,1.339,10.55
2017-03-31,1.3339,10.64
2017-03-30,1.3291,10.57
2017-03-29,1.3382,10.37
2017-03-28,1.3384,10.15
2017-03-27,1.3382,10.04
2017-03-24,1.3374,10.09
2017-03-23,1.3332,10.01
2017-03-22,1.3346,10.12
2017-03-21,1.3322,10.11
2017-03-20,1.3358,10.27
2017-03-17,1.3368,10.33
2017-03-16,1.3317,10.36
2017-03-15,1.3451,10.38
2017-03-14,1.3464,10.19
2017-03-13,1.3454,10.28
2017-03-10,1.3469,10.29
2017-03-09,1.3521,10.53
2017-03-08,1.3463,10.67
2017-03-07,1.3407,11.27
2017-03-06,1.3395,11.28
2017-03-03,1.3414,11.29
2017-03-02,1.3373,11.17
2017-03-01,1.3352,11.4
2017-02-28,1.3245,11.45
2017-02-27,1.3101,11.47
2017-02-24,1.31,11.46
2017-02-23,1.3096,11.53
2017-02-22,1.3194,11.36
2017-02-21,1.3137,11.54
2017-02-17,1.3112,11.39
2017-02-16,1.306,11.41
2017-02-15,1.3088,11.36
2017-02-14,1.3101,11.38
2017-02-13,1.3086,11.32
2017-02-10,1.3076,11.5
2017-02-09,1.3129,11.35
2017-02-08,1.3144,11.23
2017-02-07,1.3155,11.19
2017-02-06,1.3121,11.38
2017-02-03,1.3001,11.54
2017-02-02,1.3011,11.51
2017-02-01,1.3078,11.48
2017-01-31,1.3036,11.32
2017-01-30,1.3090000000000002,11.28
2017-01-27,1.3125,11.4
2017-01-26,1.3104,11.53
2017-01-25,1.3095,11.31
2017-01-24,1.3164,11.37
2017-01-23,1.3299,11.32
2017-01-20,1.3331,11.39
2017-01-19,1.3328,11.17
2017-01-18,1.3092,11.16
2017-01-17,1.3062,11.43
2017-01-13,1.3125,11.41
2017-01-12,1.3141,11.54
2017-01-11,1.3257,11.37
2017-01-10,1.3206,11.07
2017-01-09,1.3215,11.31
2017-01-06,1.3207,11.68
2017-01-05,1.3203,11.7
2017-01-04,1.3289,11.58
2017-01-03,1.3417,11.44
2016-12-30,1.3473,11.72
2016-12-29,1.3486,11.72
2016-12-28,1.3573,11.75
2016-12-23,1.3501,11.56
2016-12-22,1.3474,11.46
2016-12-21,1.3399,11.44
2016-12-20,1.3392,11.62
2016-12-19,1.3394,11.5
2016-12-16,1.3367,11.55
2016-12-15,1.3397,11.36
2016-12-14,1.31,11.32
2016-12-13,1.3122,11.73
2016-12-12,1.3131,11.62
2016-12-09,1.3163,11.44
2016-12-08,1.3224,11.31
2016-12-07,1.3245,11.09
2016-12-06,1.3289,11.29
2016-12-05,1.3259,11.35
2016-12-02,1.3302,11.48
2016-12-01,1.3331,11.33
2016-11-30,1.3448,10.93
2016-11-29,1.3447,10.06
2016-11-28,1.3423,10.44
2016-11-25,1.3514,10.33
2016-11-23,1.3495,10.67
2016-11-22,1.342,10.63
2016-11-21,1.3399,10.77
2016-11-18,1.3518,10.32
2016-11-17,1.3415,10.13
2016-11-16,1.3426,10.23
2016-11-15,1.3472,10.34
2016-11-14,1.3578,9.87
2016-11-11,1.3524,9.77
2016-11-10,1.3497,10.04
2016-11-09,1.3446,10.28
2016-11-08,1.3338,10.1
2016-11-07,1.34,10.16
2016-11-04,1.3415,9.98
2016-11-03,1.3385,10.08
2016-11-02,1.3387,10.28
2016-11-01,1.338,10.57
2016-10-31,1.3403,10.53
2016-10-28,1.337,11.01
2016-10-27,1.3387,11.21
2016-10-26,1.3331,11.09
2016-10-25,1.3353,11.24
2016-10-24,1.3355,11.43
2016-10-21,1.3335,11.48
2016-10-20,1.3213,11.43
2016-10-19,1.3014,11.66
2016-10-18,1.3137,11.45
2016-10-17,1.315,11.37
2016-10-14,1.3151,11.44
2016-10-13,1.3237,11.49
2016-10-12,1.3276,11.43
2016-10-11,1.3219999999999998,11.58
2016-10-10,1.315,11.67
2016-10-07,1.3254,11.33
2016-10-06,1.3234,11.51
2016-10-05,1.3191,11.35
2016-10-04,1.3164,11.09
2016-10-03,1.3131,11.1
2016-09-30,1.3142,10.93
2016-09-29,1.31,10.87
2016-09-28,1.3259,10.65
2016-09-27,1.3259,10.15
2016-09-26,1.3167,10.43
2016-09-23,1.3128,10.19
2016-09-22,1.3026,10.53
2016-09-21,1.3209,10.4
2016-09-20,1.3225,10.07
2016-09-19,1.3193,9.98
2016-09-16,1.3221,10.0
2016-09-15,1.3142,10.14
2016-09-14,1.3196,10.09
2016-09-13,1.3158,10.37
